Customer_ID,Peak_calls_Sum,Peak_mins_Sum,OffPeak_calls_Sum,OffPeak_mins_Sum,Weekend_calls_Sum,Weekend_mins_Sum,International_mins_Sum,AvePeak,AveOffPeak,AveWeekend,National_calls,National mins,AveNational,All_calls_mins,Gender,Age,Region,Dropped_Calls,tariff,Handset,L_O_S
"K102830",239,369.000000,160,279.300001,24,39.600000,193.919278,1.543933,1.745625,1.650000,423,687.900001,1.626241,881.819279,"F",48,"North-East",2,"CAT 100","ASAD170",35.909651
"K102840",152,315.600001,160,282.900000,7,25.200001,190.123905,2.076316,1.768125,3.600000,319,623.700002,1.955172,813.823907,"F",26,"North",6,"CAT 100","S50",26.940452
"K102860",311,544.800000,163,270.900000,53,126.599999,182.843747,1.751768,1.661963,2.388679,527,942.299999,1.788046,1125.143746,"M",40,"South-East",1,"CAT 100","ASAD90",55.326489
"K102880",414,625.800000,78,123.600000,20,41.400000,191.532014,1.511594,1.584615,2.070000,512,790.800000,1.544531,982.332014,"M",41,"North-West",0,"CAT 100","ASAD170",29.864476
"K102900",283,492.000000,21,172.200001,40,61.799999,191.644989,1.738516,8.200000,1.545000,344,726.000000,2.110465,917.644989,"F",29,"North-East",0,"CAT 100","ASAD170",56.772074
"K102910",326,492.600000,35,64.200000,4,34.800000,188.531320,1.511043,1.834286,8.700000,365,591.600000,1.620822,780.131320,"M",44,"South",6,"CAT 100","S50",42.217659
"K102920",336,517.800000,239,373.800000,15,38.000000,221.938216,1.541071,1.564017,2.533333,590,929.600000,1.575593,1151.538216,"M",33,"South-West",2,"CAT 100","S50",41.987680
"K102940",244,511.800000,125,294.900000,0,0.000000,258.374028,2.097541,2.359200,0.000000,369,806.700000,2.186179,1065.074028,"M",53,"South-East",2,"CAT 100","ASAD170",22.833676
"K102950",432,666.600001,44,81.600001,1,60.000000,239.690860,1.543056,1.854545,60.000000,477,808.200002,1.694340,1047.890862,"M",31,"North-East",11,"CAT 100","ASAD170",51.811088
"K102970",276,581.400000,74,286.200000,3,13.800000,290.169620,2.106522,3.867568,4.600000,353,881.400000,2.496884,1171.569620,"F",29,"East",2,"CAT 100","ASAD170",26.710472
"K102990",218,379.800000,139,231.000000,9,21.599999,203.221056,1.742202,1.661871,2.400000,366,632.399999,1.727869,835.621055,"F",31,"North-East",6,"CAT 100","ASAD170",32.854209
"K103000",282,453.000000,19,268.200001,16,81.000000,186.642050,1.606383,14.115790,5.062500,317,802.200001,2.530599,988.842051,"F",27,"Central",5,"CAT 100","S80",27.663244
"K103010",268,431.400000,60,200.400000,42,136.000000,234.993851,1.609701,3.340000,3.238095,370,767.800000,2.075135,1002.793851,"F",31,"South-East",5,"CAT 100","ASAD170",34.004107
"K103020",306,491.400001,105,274.500000,17,79.800001,198.474625,1.605882,2.614286,4.694118,428,845.700002,1.975935,1044.174627,"F",34,"East",2,"CAT 100","S80",49.018480
"K103030",219,463.800000,107,213.000000,38,100.200000,237.120757,2.117808,1.990654,2.636842,364,777.000000,2.134615,1014.120757,"M",44,"South-East",0,"CAT 100","ASAD170",32.722793
"K103040",276,585.600001,136,216.899998,7,14.399999,193.492888,2.121739,1.594853,2.057143,419,816.899998,1.949642,1010.392886,"M",64,"South-West",1,"CAT 100","ASAD170",44.648871
"K103050",364,637.200000,86,282.600000,8,51.600000,283.797206,1.750549,3.286047,6.450000,458,971.400000,2.120961,1255.197206,"F",52,"South-West",1,"CAT 100","ASAD90",41.823409
"K103060",468,707.400000,78,128.700001,25,65.400000,264.873780,1.511538,1.650000,2.616000,571,901.500001,1.578809,1166.373781,"F",50,"East",1,"CAT 100","ASAD170",21.223819
"K103090",316,672.000000,26,77.400001,0,0.000000,232.313084,2.126582,2.976923,0.000000,342,749.400001,2.191228,981.713085,"M",32,"South-East",1,"CAT 100","S50",45.273101
"K103110",213,454.200001,39,90.899999,76,138.000000,215.894790,2.132394,2.330769,1.815789,328,683.100000,2.082622,898.994790,"M",35,"East",10,"CAT 100","S80",23.359343
"K103120",351,531.600000,165,365.100001,24,40.500000,192.906976,1.514530,2.212727,1.687500,540,937.200001,1.735556,1130.106977,"M",68,"South-East",0,"CAT 100","ASAD170",19.252567
"K103130",249,529.800000,164,288.300000,24,77.400001,282.438200,2.127711,1.757927,3.225000,437,895.500001,2.049199,1177.938201,"F",49,"West",7,"CAT 100","S80",41.954825
"K103140",262,404.400000,29,309.300000,10,22.000000,195.064821,1.543511,10.665517,2.200000,301,735.700000,2.444186,930.764821,"M",42,"East",7,"CAT 100","S80",56.804928
"K103150",303,530.400000,0,0.000000,23,40.000000,212.176794,1.750495,0.000000,1.739130,326,570.400000,1.749693,782.576794,"F",29,"South-East",10,"CAT 100","ASAD170",34.135524
"K103160",323,689.400000,34,113.700000,3,15.600000,181.378266,2.134365,3.344118,5.200000,360,818.700000,2.274167,1000.078266,"M",32,"North-West",1,"CAT 100","S50",43.991786
"K103180",389,682.800000,3,201.900000,3,47.400000,291.578008,1.755270,67.300000,15.800000,395,932.100000,2.359747,1223.678008,"M",27,"Central",2,"CAT 100","S80",34.069815
"K103200",407,628.800000,37,165.300000,5,8.500000,186.670450,1.544963,4.467568,1.700000,449,802.600000,1.787528,989.270450,"F",29,"South-East",2,"CAT 100","S80",21.782341
"K103220",306,658.200001,52,101.099999,11,55.200001,203.489573,2.150980,1.944231,5.018182,369,814.500001,2.207317,1017.989574,"F",27,"South-East",2,"CAT 100","S80",37.913758
"K103230",345,739.799999,2,36.000000,0,0.000000,207.637657,2.144348,18.000000,0.000000,347,775.799999,2.235735,983.437656,"M",26,"Central",0,"CAT 100","ASAD170",36.172485
"K103240",256,556.800000,27,87.600002,10,24.600002,199.135657,2.175000,3.244445,2.460000,293,669.000004,2.283276,868.135661,"M",46,"West",8,"CAT 100","S50",47.572895
"K103250",216,468.000000,70,189.900000,24,49.799999,225.052358,2.166667,2.712857,2.075000,310,707.699999,2.282903,932.752357,"M",47,"West",2,"CAT 100","S50",45.207392
"K103260",210,453.000000,204,435.300001,1,9.600000,183.524415,2.157143,2.133824,9.600000,415,897.900001,2.163614,1081.424416,"F",30,"North",0,"CAT 100","S50",16.919918
"K103270",429,755.399999,58,101.700001,33,71.399999,276.042225,1.760839,1.753448,2.163636,520,928.499999,1.785577,1204.542224,"F",66,"East",0,"CAT 100","S50",46.981520
"K103280",373,656.399999,27,126.000000,11,28.000000,185.366665,1.759786,4.666667,2.545455,411,810.399999,1.971776,995.766664,"M",27,"East",10,"CAT 100","S50",30.422998
"K103290",390,627.600001,41,162.000000,0,0.000000,225.197971,1.609231,3.951220,0.000000,431,789.600001,1.832019,1014.797972,"M",42,"South-West",1,"CAT 100","S50",54.078029
"K103300",313,504.000000,158,335.399999,16,32.399999,258.887106,1.610224,2.122785,2.025000,487,871.799998,1.790144,1130.687104,"F",56,"South-East",1,"CAT 100","S50",45.963039
"K103310",237,417.600001,81,283.200000,45,123.000000,243.180536,1.762025,3.496296,2.733333,363,823.800001,2.269421,1066.980537,"F",29,"North",1,"CAT 100","S50",32.689938
"K103330",360,634.800000,42,148.800000,3,5.400000,256.937283,1.763333,3.542857,1.800000,405,789.000000,1.948148,1045.937283,"F",27,"South-West",10,"CAT 100","S50",21.059548
"K103350",264,572.400000,52,274.200001,20,49.799999,292.724220,2.168182,5.273077,2.490000,336,896.400000,2.667857,1189.124220,"F",29,"South-East",1,"CAT 100","ASAD170",28.681725
"K103370",330,715.200000,49,110.700000,58,101.400001,276.049685,2.167273,2.259184,1.748276,437,927.300001,2.121968,1203.349686,"M",34,"South",4,"CAT 100","S50",45.897331
"K103390",259,563.400000,116,257.700001,6,21.500001,214.023280,2.175290,2.221552,3.583333,381,842.600002,2.211549,1056.623282,"M",42,"South-East",0,"CAT 100","S50",50.004107
"K103400",387,586.800000,76,225.000000,5,21.499999,222.411749,1.516279,2.960526,4.300000,468,833.299999,1.780556,1055.711748,"F",52,"West",4,"CAT 100","S80",23.359343
"K103410",408,632.400000,16,231.300000,4,58.200000,191.113271,1.550000,14.456250,14.550000,428,921.900000,2.153972,1113.013271,"F",46,"Central",1,"CAT 100","S80",21.223819
"K103420",238,518.400000,18,245.699999,20,59.400000,222.607154,2.178151,13.650000,2.970000,276,823.499999,2.983696,1046.107153,"F",35,"South-East",8,"CAT 100","S80",20.369610
"K103430",389,688.199999,92,154.500000,2,28.800000,244.991584,1.769152,1.679348,14.400000,483,871.499999,1.804348,1116.491583,"M",28,"South-West",2,"CAT 100","ASAD170",54.833676
"K103440",324,501.600001,17,120.600001,27,58.800000,182.303786,1.548148,7.094118,2.177778,368,681.000002,1.850543,863.303788,"F",26,"West",2,"CAT 100","S80",22.209446
"K103460",311,481.199999,134,342.000000,15,71.400000,294.911968,1.547267,2.552239,4.760000,460,894.599999,1.944783,1189.511967,"M",40,"South-East",2,"CAT 100","S50",25.133470
"K103470",218,387.600001,202,335.399999,19,31.200000,213.140966,1.777982,1.660396,1.642105,439,754.200000,1.717995,967.340966,"M",39,"East",1,"CAT 100","ASAD170",34.299795
"K103480",315,692.399999,87,214.499999,5,12.500000,208.391328,2.198095,2.465517,2.500000,407,919.399998,2.258968,1127.791326,"M",29,"South",5,"CAT 100","S50",22.373717
"K103500",264,582.000000,232,366.900000,20,50.500000,257.423857,2.204545,1.581466,2.525000,516,999.400000,1.936822,1256.823857,"M",41,"North-West",10,"CAT 100","S80",11.663244
"K103510",271,604.799998,84,186.000000,1,7.800000,189.399590,2.231734,2.214286,7.800000,356,798.599998,2.243258,987.999588,"M",30,"South",0,"CAT 100","ASAD170",25.264887
"K103520",410,730.199999,1,73.500000,62,115.800001,192.532641,1.780976,73.500000,1.867742,473,919.500000,1.943975,1112.032641,"M",27,"North",0,"CAT 100","ASAD170",20.139630
"K103540",303,670.200000,48,138.299999,1,51.500000,204.273702,2.211881,2.881250,51.500000,352,859.999999,2.443182,1064.273701,"F",40,"South-West",11,"CAT 100","S50",42.250513
"K103550",248,441.600000,132,227.700001,37,60.600000,236.779662,1.780645,1.725000,1.637838,417,729.900001,1.750360,966.679663,"F",26,"North",11,"CAT 100","S50",22.078029
"K103570",193,427.200000,138,221.100000,2,8.400000,204.680889,2.213472,1.602174,4.200000,333,656.700000,1.972072,861.380889,"M",69,"South-East",0,"CAT 100","ASAD170",16.689938
"K103580",440,714.000000,114,186.000000,5,7.800001,192.204061,1.622727,1.631579,1.560000,559,907.800001,1.623971,1100.004062,"M",56,"East",10,"CAT 100","S80",30.915811
"K103590",442,787.800000,42,108.000000,13,31.200000,242.257958,1.782353,2.571429,2.400000,497,927.000000,1.865191,1169.257958,"M",30,"South-West",4,"CAT 100","S50",29.864476
"K103610",290,655.200001,169,279.900000,8,16.799999,196.488950,2.259310,1.656213,2.100000,467,951.900000,2.038330,1148.388950,"M",32,"South-East",1,"CAT 100","S80",37.782341
"K103630",261,583.799999,65,115.200001,0,0.000000,205.891726,2.236782,1.772308,0.000000,326,699.000000,2.144172,904.891726,"M",52,"East",1,"CAT 100","ASAD90",46.718686
"K103640",294,656.400000,113,255.600000,0,0.000000,231.882827,2.232653,2.261947,0.000000,407,912.000000,2.240786,1143.882827,"M",26,"Central",11,"CAT 100","S50",35.909651
"K103650",361,562.199999,173,320.100000,11,56.400000,190.370148,1.557341,1.850289,5.127273,545,938.699999,1.722385,1129.070147,"F",52,"Central",8,"CAT 100","S80",28.944559
"K103660",260,582.000000,5,32.100000,0,0.000000,189.178282,2.238462,6.420000,0.000000,265,614.100000,2.317358,803.278282,"M",27,"North",11,"CAT 100","ASAD170",48.689938
"K103680",335,749.400000,23,179.400000,5,11.400000,199.707839,2.237015,7.800000,2.280000,363,940.200000,2.590083,1139.907839,"F",29,"East",1,"CAT 100","S80",15.835729
"K103710",316,567.600000,76,262.200001,4,52.799999,246.494204,1.796203,3.450000,13.200000,396,882.600000,2.228788,1129.094204,"F",32,"Central",2,"CAT 100","ASAD170",30.620123
"K103720",328,508.200000,97,147.600001,4,24.600000,198.849470,1.549390,1.521649,6.150000,429,680.400001,1.586014,879.249471,"F",33,"East",7,"CAT 100","ASAD90",49.708419
"K103730",294,661.800000,18,80.700000,14,101.500000,205.887370,2.251020,4.483333,7.250000,326,844.000000,2.588957,1049.887370,"M",61,"South",1,"CAT 100","ASAD170",47.901437
"K103740",298,462.600000,88,243.000000,3,15.500000,195.544240,1.552349,2.761364,5.166667,389,721.100000,1.853728,916.644240,"M",27,"West",0,"CAT 100","ASAD90",50.726899
"K103760",273,617.400000,10,82.200001,3,5.000000,185.726299,2.261538,8.220000,1.666667,286,704.600001,2.463636,890.326300,"F",55,"North-West",0,"CAT 100","ASAD170",27.301848
"K103770",384,690.600001,65,155.100001,9,18.600001,213.303188,1.798438,2.386154,2.066667,458,864.300003,1.887118,1077.603191,"F",32,"Central",1,"CAT 100","S50",31.802875
"K103780",427,769.200000,3,24.900000,9,75.000000,257.253806,1.801405,8.300000,8.333333,439,869.100000,1.979727,1126.353806,"F",33,"West",2,"CAT 100","S50",21.519507
"K103790",209,476.399999,15,369.300000,4,24.000000,227.817499,2.279426,24.620000,6.000000,228,869.699999,3.814474,1097.517498,"M",42,"Central",1,"CAT 100","ASAD170",52.796715
"K103800",294,531.000000,37,174.600000,17,49.200000,192.580768,1.806122,4.718919,2.894118,348,754.800000,2.168966,947.380768,"F",43,"North",2,"CAT 100","S50",32.558522
"K103830",419,763.199999,17,59.700000,6,11.000000,213.274755,1.821480,3.511765,1.833333,442,833.899999,1.886652,1047.174754,"F",54,"South-West",2,"CAT 100","ASAD170",10.743326
"K103840",290,663.000000,64,194.400001,10,36.000000,186.284819,2.286207,3.037500,3.600000,364,893.400001,2.454396,1079.684820,"F",39,"South",0,"CAT 100","ASAD170",47.704312
"K103850",194,444.000000,81,218.099999,2,43.000000,194.556987,2.288660,2.692593,21.500000,277,705.099999,2.545487,899.656986,"M",39,"Central",7,"CAT 100","S80",35.646817
"K103860",251,573.600000,20,39.600000,27,68.400000,189.562264,2.285259,1.980000,2.533333,298,681.600000,2.287248,871.162264,"M",40,"South-West",7,"CAT 100","S50",21.650924
"K103890",219,505.200000,176,265.800000,0,0.000000,191.258708,2.306849,1.510227,0.000000,395,771.000000,1.951899,962.258708,"F",27,"South-East",9,"CAT 100","S80",53.519507
"K103900",277,636.600001,123,190.200000,0,0.000000,258.933975,2.298195,1.546341,0.000000,400,826.800001,2.067000,1085.733976,"M",41,"North-East",2,"CAT 100","S80",55.983573
"K103910",293,531.600000,135,459.300000,1,4.800000,237.418249,1.814334,3.402222,4.800000,429,995.700000,2.320979,1233.118249,"F",28,"East",1,"CAT 100","ASAD170",28.780287
"K103920",307,714.600000,1,139.500000,37,89.400000,281.603956,2.327687,139.500000,2.416216,345,943.500000,2.734783,1225.103956,"M",31,"South-West",2,"CAT 100","S50",47.802875
"K103930",419,636.000000,101,281.400000,6,42.000000,238.386320,1.517900,2.786139,7.000000,526,959.400000,1.823954,1197.786320,"M",57,"South-East",2,"CAT 100","S50",33.215606
"K103940",216,501.000000,8,271.200000,14,24.000000,231.168689,2.319444,33.900000,1.714286,238,796.200000,3.345378,1027.368689,"F",42,"Central",10,"CAT 100","ASAD170",54.275154
"K103960",362,591.000000,3,190.500000,26,74.400001,214.048399,1.632597,63.500000,2.861539,391,855.900001,2.189003,1069.948400,"F",70,"South-West",11,"CAT 100","S80",15.572895
"K103970",307,558.600002,2,178.800000,25,47.399998,189.928451,1.819544,89.400000,1.896000,334,784.800000,2.349701,974.728451,"F",48,"South",2,"CAT 100","S80",49.839836
"K103980",251,583.800000,59,331.800000,2,22.800000,235.313673,2.325896,5.623729,11.400000,312,938.400000,3.007692,1173.713673,"M",79,"South-East",11,"CAT 100","S80",44.451745
"K103990",280,435.600000,79,232.500001,6,48.600000,189.031238,1.555714,2.943038,8.100000,365,716.700001,1.963562,905.731239,"M",42,"South",3,"CAT 100","S80",41.527721
"K104000",368,601.200000,0,0.000000,5,52.200000,216.412589,1.633696,0.000000,10.440000,373,653.400000,1.751743,869.812589,"F",33,"South",2,"CAT 100","S50",39.917864
"K104010",326,592.800000,84,194.700000,4,33.500000,191.454143,1.818405,2.317857,8.375000,414,821.000000,1.983092,1012.454143,"F",26,"Central",0,"CAT 100","ASAD170",24.903491
"K104020",312,727.800000,0,0.000000,4,28.800000,294.653878,2.332692,0.000000,7.200000,316,756.600000,2.394304,1051.253878,"F",28,"South-East",0,"CAT 100","S80",51.055441
"K104030",138,321.599999,167,275.100000,26,42.000000,183.349607,2.330435,1.647305,1.615385,331,638.699999,1.929607,822.049606,"M",32,"South-East",1,"CAT 100","S50",26.907598
"K104040",280,651.600000,63,291.600000,9,17.400000,247.700943,2.327143,4.628571,1.933333,352,960.600000,2.728977,1208.300943,"F",40,"South-West",2,"CAT 100","S50",26.316222
"K104050",257,599.400000,113,250.500000,29,50.400000,237.746534,2.332296,2.216814,1.737931,399,900.300000,2.256391,1138.046534,"F",28,"West",0,"CAT 100","S50",19.252567
"K104080",286,468.000000,145,239.100000,2,9.500000,216.977786,1.636364,1.648966,4.750000,433,716.600000,1.654965,933.577786,"F",29,"South-West",0,"CAT 100","S80",15.047228
"K104100",179,419.400000,173,327.600000,11,84.000000,227.773177,2.343017,1.893642,7.636364,363,831.000000,2.289256,1058.773177,"F",26,"South",1,"CAT 100","ASAD170",32.032854
"K104110",211,348.000000,121,303.000000,4,24.000000,208.242864,1.649289,2.504132,6.000000,336,675.000000,2.008929,883.242864,"F",45,"North-East",10,"CAT 100","ASAD170",33.084189
"K104120",388,605.399999,69,346.500000,5,28.000000,221.581446,1.560309,5.021739,5.600000,462,979.899999,2.120996,1201.481445,"M",48,"East",0,"CAT 100","S80",51.219713
"K104130",325,765.600000,14,62.700001,23,67.200000,207.131962,2.355692,4.478572,2.921739,362,895.500001,2.473757,1102.631963,"F",50,"South",0,"CAT 100","S50",26.874743
"K104140",196,461.400000,39,179.400000,0,0.000000,191.711479,2.354082,4.600000,0.000000,235,640.800000,2.726809,832.511479,"M",28,"South-East",2,"CAT 100","S80",15.014374
"K104150",321,587.400000,45,140.100000,6,15.600000,233.570895,1.829907,3.113333,2.600000,372,743.100000,1.997581,976.670895,"M",46,"North",1,"CAT 100","ASAD170",13.010267
"K104160",441,687.000000,6,66.900001,6,36.000000,240.055160,1.557823,11.150000,6.000000,453,789.900001,1.743709,1029.955161,"M",31,"South-West",1,"CAT 100","ASAD170",11.663244
"K104170",191,450.600000,49,113.400000,15,67.799999,180.726371,2.359162,2.314286,4.520000,255,631.799999,2.477647,812.526370,"F",34,"East",1,"CAT 100","S80",9.921971
"K104180",422,772.800001,67,131.100000,0,0.000000,187.996978,1.831280,1.956716,0.000000,489,903.900001,1.848466,1091.896979,"M",32,"West",0,"CAT 100","S80",30.685832
"K104190",220,520.799999,191,363.600000,18,46.500001,239.189339,2.367273,1.903665,2.583333,429,930.900000,2.169930,1170.089339,"F",50,"North-West",0,"CAT 100","S80",14.915811
"K104200",170,402.000000,146,223.500001,1,4.000000,201.661507,2.364706,1.530822,4.000000,317,629.500001,1.985804,831.161508,"M",35,"South-East",11,"CAT 100","S80",42.119097
"K104210",277,507.000000,86,150.000000,9,73.800000,182.438833,1.830325,1.744186,8.200000,372,730.800000,1.964516,913.238833,"F",38,"North",2,"CAT 100","S50",32.755647
"K104220",237,565.200000,113,264.900000,21,67.800000,185.640813,2.384810,2.344248,3.228571,371,897.900000,2.420216,1083.540813,"F",38,"South-East",0,"CAT 100","S80",23.655031
"K104230",329,784.800000,6,74.400000,14,31.500001,241.759284,2.385410,12.400000,2.250000,349,890.700001,2.552149,1132.459285,"F",37,"South-East",1,"CAT 100","S50",28.188912
"K104240",286,526.200000,123,280.500001,1,69.600000,249.535698,1.839860,2.280488,69.600000,410,876.300001,2.137317,1125.835699,"F",27,"South-West",2,"CAT 100","ASAD170",45.240246
"K104260",508,791.400001,28,44.100000,14,25.800000,230.110152,1.557874,1.575000,1.842857,550,861.300001,1.566000,1091.410153,"F",37,"Central",1,"CAT 100","S80",37.256674
"K104270",300,721.200001,55,101.100000,13,33.000000,207.171162,2.404000,1.838182,2.538462,368,855.300001,2.324185,1062.471163,"M",47,"South-West",2,"CAT 100","S50",57.034908
"K104280",275,659.400000,17,39.600000,1,13.800000,231.153454,2.397818,2.329412,13.800000,293,712.800000,2.432765,943.953454,"F",51,"South",2,"CAT 100","ASAD170",52.369610
"K104300",221,539.400000,104,185.099999,3,13.800000,181.701292,2.440724,1.779808,4.600000,328,738.299999,2.250915,920.001291,"F",27,"North-East",0,"CAT 100","S50",10.151951
"K104310",275,510.000000,54,139.500000,0,0.000000,206.984762,1.854545,2.583333,0.000000,329,649.500000,1.974164,856.484762,"M",48,"West",2,"CAT 100","S80",35.843943
"K104320",434,714.600000,119,203.099999,3,16.000000,290.254553,1.646544,1.706723,5.333333,556,933.699999,1.679317,1223.954552,"M",26,"Central",2,"CAT 100","ASAD170",47.770021
"K104330",310,748.799998,36,147.300000,0,0.000000,272.210085,2.415484,4.091667,0.000000,346,896.099998,2.589884,1168.310083,"M",36,"West",0,"CAT 100","ASAD170",49.675565
"K104360",294,544.200000,21,169.800000,13,63.600000,195.406439,1.851020,8.085714,4.892308,328,777.600000,2.370732,973.006439,"M",35,"East",2,"CAT 100","ASAD170",51.088296
"K104370",180,437.399999,27,122.399999,9,13.800000,183.788681,2.430000,4.533333,1.533333,216,573.599998,2.655556,757.388679,"M",66,"South-West",0,"CAT 100","S80",29.995893
"K104380",337,622.800000,55,167.100000,1,5.500000,220.394521,1.848071,3.038182,5.500000,393,795.400000,2.023919,1015.794521,"F",32,"Central",8,"CAT 100","S80",14.422998
"K104390",241,585.600000,42,101.400000,24,66.600000,211.150113,2.429876,2.414286,2.775000,307,753.600000,2.454723,964.750113,"F",30,"North",2,"CAT 100","ASAD170",14.061602
"K104410",173,421.800000,155,288.900001,44,68.400000,182.852331,2.438150,1.863871,1.554545,372,779.100001,2.094355,961.952332,"M",37,"South",0,"CAT 100","S50",10.809035
"K104420",316,768.600000,19,150.300000,0,0.000000,276.512605,2.432278,7.910526,0.000000,335,918.900000,2.742985,1195.412605,"F",44,"South-East",2,"CAT 100","S80",21.946612
"K104430",507,834.599999,13,57.599999,5,21.000000,235.469152,1.646154,4.430769,4.200000,525,913.199998,1.739429,1148.669150,"M",31,"North",0,"CAT 100","ASAD170",12.550308
"K104440",394,651.000000,1,185.400000,33,98.499999,215.953426,1.652284,185.400000,2.984848,428,934.899999,2.184346,1150.853425,"F",38,"East",0,"CAT 100","S80",40.147844
"K104450",144,353.400000,0,0.000000,5,124.200001,190.319072,2.454167,0.000000,24.840000,149,477.600001,3.205369,667.919073,"M",72,"East",1,"CAT 100","S50",44.911704
"K104460",197,483.000000,101,278.699999,28,119.400001,271.436455,2.451777,2.759406,4.264286,326,881.100000,2.702761,1152.536455,"F",27,"Central",2,"CAT 100","ASAD170",47.572895
"K104470",245,601.200000,65,170.099999,2,112.200000,225.106051,2.453878,2.616923,56.100000,312,883.499999,2.831731,1108.606050,"F",36,"South-West",0,"CAT 100","S80",28.583162
"K104490",198,487.799999,1,216.900000,11,44.500000,203.639202,2.463636,216.900000,4.045455,210,749.199999,3.567619,952.839201,"M",53,"West",3,"CAT 100","S80",17.149897
"K104510",243,601.800001,11,109.199999,21,34.800001,183.554611,2.476543,9.927273,1.657143,275,745.800001,2.712000,929.354612,"M",38,"South-East",2,"CAT 100","ASAD170",47.080082
"K104520",340,561.000000,30,250.800000,9,49.200000,190.914341,1.650000,8.360000,5.466667,379,861.000000,2.271768,1051.914341,"M",28,"West",0,"CAT 100","ASAD90",30.061602
"K104540",377,588.599999,70,208.800000,22,42.000000,258.015017,1.561273,2.982857,1.909091,469,839.399999,1.789765,1097.415016,"M",56,"South-East",0,"CAT 100","S50",24.114990
